scalar	theta	mle
0.061	0.0054	-33458.4
0.061	0.0055	-33492.6
0.061	0.0056	-33533.3
0.061	0.0057	-33580.3
0.061	0.0058	-33633.2
0.061	0.0059	-33691.8
0.061	0.006	-33755.8
0.061	0.0061	-33824.8
0.061	0.0062	-33898.8
0.061	0.0063	-33977.4
0.061	0.0064	-34060.4
0.061	0.0065	-34147.6
0.061	0.0066	-34238.9
0.061	0.0067	-34333.9
0.061	0.0068	-34432.7
0.061	0.0069	-34535
0.061	0.007	-34640.6
0.061	0.0071	-34749.4
0.061	0.0072	-34861.2
0.061	0.0073	-34976
0.061	0.0074	-35093.5
0.061	0.0075	-35213.8
0.061	0.0076	-35336.5
0.061	0.0077	-35461.8
0.061	0.0078	-35589.3
0.061	0.0079	-35719.1
0.061	0.008	-35851.1
0.061	0.0081	-35985.1
0.061	0.0082	-36121
0.061	0.0083	-36258.9
0.061	0.0084	-36398.5
0.061	0.0085	-36539.9
0.061	0.0086	-36682.9
0.061	0.0087	-36827.5
0.061	0.0088	-36973.6
0.061	0.0089	-37121.2
0.061	0.009	-37270.2
0.061	0.0091	-37420.5
0.061	0.0092	-37572.1
0.061	0.0093	-37724.9
0.061	0.0094	-37878.9
0.061	0.0095	-38034
0.061	0.0096	-38190.1
0.061	0.0097	-38347.4
0.061	0.0098	-38505.5
0.061	0.0099	-38664.7
0.071	0.001	-57168.8
0.071	0.0011	-54653.1
0.071	0.0012	-52453.9
0.071	0.0013	-50516.6
0.071	0.0014	-48799.4
0.071	0.0015	-47269
0.071	0.0016	-45899
0.071	0.0017	-44667.8
0.071	0.0018	-43557.9
0.071	0.0019	-42554.6
0.071	0.002	-41645.4
0.071	0.0021	-40820
0.071	0.0022	-40069.5
0.071	0.0023	-39386.2
0.071	0.0024	-38763.5
0.071	0.0025	-38195.6
0.071	0.0026	-37677.5
0.071	0.0027	-37204.7
0.071	0.0028	-36773.4
0.071	0.0029	-36380.1
0.071	0.003	-36021.6
0.071	0.0031	-35695.3
0.071	0.0032	-35398.6
0.071	0.0033	-35129.3
0.071	0.0034	-34885.4
0.071	0.0035	-34665.1
0.071	0.0036	-34466.7
0.071	0.0037	-34288.8
0.071	0.0038	-34129.9
0.071	0.0039	-33988.7
0.071	0.004	-33864.3
0.071	0.0041	-33755.4
0.071	0.0042	-33661.1
0.071	0.0043	-33580.6
0.071	0.0044	-33512.9
0.071	0.0045	-33457.4
0.071	0.0046	-33413.4
0.071	0.0047	-33380.1
0.071	0.0048	-33357
0.071	0.0049	-33343.6
0.071	0.005	-33339.2
0.071	0.0051	-33343.4
0.071	0.0052	-33355.7
0.071	0.0053	-33375.8
0.071	0.0054	-33403.1
0.071	0.0055	-33437.4
0.071	0.0056	-33478.3
0.071	0.0057	-33525.4
0.071	0.0058	-33578.5
0.071	0.0059	-33637.2
0.071	0.006	-33701.3
0.071	0.0061	-33770.5
0.071	0.0062	-33844.5
0.071	0.0063	-33923.3
0.071	0.0064	-34006.4
0.071	0.0065	-34093.8
0.071	0.0066	-34185.2
0.071	0.0067	-34280.4
0.071	0.0068	-34379.3
0.071	0.0069	-34481.7
0.071	0.007	-34587.4
0.071	0.0071	-34696.3
0.071	0.0072	-34808.3
0.071	0.0073	-34923.2
0.071	0.0074	-35040.9
0.071	0.0075	-35161.2
0.071	0.0076	-35284.1
0.071	0.0077	-35409.5
0.071	0.0078	-35537.2
0.071	0.0079	-35667.1
0.071	0.008	-35799.2
0.071	0.0081	-35933.3
0.071	0.0082	-36069.4
0.071	0.0083	-36207.4
0.071	0.0084	-36347.1
0.071	0.0085	-36488.6
0.071	0.0086	-36631.8
0.071	0.0087	-36776.5
0.071	0.0088	-36922.7
0.071	0.0089	-37070.4
0.071	0.009	-37219.5
0.071	0.0091	-37370
0.071	0.0092	-37521.7
0.071	0.0093	-37674.6
0.071	0.0094	-37828.7
0.071	0.0095	-37983.9
0.071	0.0096	-38140.2
0.071	0.0097	-38297.5
0.071	0.0098	-38455.8
0.071	0.0099	-38615.1
0.081	0.001	-57115.1
0.081	0.0011	-54599.6
0.081	0.0012	-52400.6
0.081	0.0013	-50463.5
0.081	0.0014	-48746.4
0.081	0.0015	-47216.2
0.081	0.0016	-45846.3
0.081	0.0017	-44615.4
0.081	0.0018	-43505.6
0.081	0.0019	-42502.4
0.081	0.002	-41593.4
0.081	0.0021	-40768.2
0.081	0.0022	-40017.8
0.081	0.0023	-39334.7
0.081	0.0024	-38712.1
0.081	0.0025	-38144.3
0.081	0.0026	-37626.4
0.081	0.0027	-37153.8
0.081	0.0028	-36722.6
0.081	0.0029	-36329.5
0.081	0.003	-35971.2
0.081	0.0031	-35645
0.081	0.0032	-35348.4
0.081	0.0033	-35079.3
0.081	0.0034	-34835.6
0.081	0.0035	-34615.4
0.081	0.0036	-34417.2
0.081	0.0037	-34239.4
0.081	0.0038	-34080.6
0.081	0.0039	-33939.6
0.081	0.004	-33815.3
0.081	0.0041	-33706.5
0.081	0.0042	-33612.4
0.081	0.0043	-33532
0.081	0.0044	-33464.5
0.081	0.0045	-33409.2
0.081	0.0046	-33365.3
0.081	0.0047	-33332.1
0.081	0.0048	-33309.2
0.081	0.0049	-33295.8
0.081	0.005	-33291.6
0.081	0.0051	-33295.9
0.081	0.0052	-33308.4
0.081	0.0053	-33328.6
0.081	0.0054	-33356.1
0.081	0.0055	-33390.5
0.081	0.0056	-33431.5
0.081	0.0057	-33478.7
0.081	0.0058	-33531.9
0.081	0.0059	-33590.8
0.081	0.006	-33655
0.081	0.0061	-33724.3
0.081	0.0062	-33798.5
0.081	0.0063	-33877.4
0.081	0.0064	-33960.7
0.081	0.0065	-34048.2
0.081	0.0066	-34139.7
0.081	0.0067	-34235
0.081	0.0068	-34334
0.081	0.0069	-34436.5
0.081	0.007	-34542.4
0.081	0.0071	-34651.5
0.081	0.0072	-34763.6
0.081	0.0073	-34878.6
0.081	0.0074	-34996.4
0.081	0.0075	-35116.9
0.081	0.0076	-35239.9
0.081	0.0077	-35365.4
0.081	0.0078	-35493.2
0.081	0.0079	-35623.2
0.081	0.008	-35755.4
0.081	0.0081	-35889.7
0.081	0.0082	-36025.9
0.081	0.0083	-36164
0.081	0.0084	-36303.8
0.081	0.0085	-36445.5
0.081	0.0086	-36588.7
0.081	0.0087	-36733.6
0.081	0.0088	-36879.9
0.081	0.0089	-37027.7
0.081	0.009	-37177
0.081	0.0091	-37327.5
0.081	0.0092	-37479.3
0.081	0.0093	-37632.4
0.081	0.0094	-37786.6
0.081	0.0095	-37941.9
0.081	0.0096	-38098.3
0.081	0.0097	-38255.7
0.081	0.0098	-38414.2
0.081	0.0099	-38573.5
0.091	0.001	-57068
0.091	0.0011	-54552.6
0.091	0.0012	-52353.7
0.091	0.0013	-50416.8
0.091	0.0014	-48699.9
0.091	0.0015	-47169.8
0.091	0.0016	-45800.1
0.091	0.0017	-44569.3
0.091	0.0018	-43459.7
0.091	0.0019	-42456.7
0.091	0.002	-41547.8
0.091	0.0021	-40722.8
0.091	0.0022	-39972.5
0.091	0.0023	-39289.5
0.091	0.0024	-38667.1
0.091	0.0025	-38099.5
0.091	0.0026	-37581.7
0.091	0.0027	-37109.3
0.091	0.0028	-36678.3
0.091	0.0029	-36285.3
0.091	0.003	-35927.1
0.091	0.0031	-35601.1
0.091	0.0032	-35304.7
0.091	0.0033	-35035.7
0.091	0.0034	-34792.1
0.091	0.0035	-34572.1
0.091	0.0036	-34374
0.091	0.0037	-34196.3
0.091	0.0038	-34037.7
0.091	0.0039	-33896.8
0.091	0.004	-33772.6
0.091	0.0041	-33664
0.091	0.0042	-33570.1
0.091	0.0043	-33489.8
0.091	0.0044	-33422.4
0.091	0.0045	-33367.2
0.091	0.0046	-33323.5
0.091	0.0047	-33290.5
0.091	0.0048	-33267.6
0.091	0.0049	-33254.4
0.091	0.005	-33250.3
0.091	0.0051	-33254.8
0.091	0.0052	-33267.4
0.091	0.0053	-33287.7
0.091	0.0054	-33315.3
0.091	0.0055	-33349.9
0.091	0.0056	-33391
0.091	0.0057	-33438.4
0.091	0.0058	-33491.7
0.091	0.0059	-33550.7
0.091	0.006	-33615
0.091	0.0061	-33684.5
0.091	0.0062	-33758.8
0.091	0.0063	-33837.8
0.091	0.0064	-33921.2
0.091	0.0065	-34008.8
0.091	0.0066	-34100.4
0.091	0.0067	-34195.9
0.091	0.0068	-34295.1
0.091	0.0069	-34397.7
0.091	0.007	-34503.7
0.091	0.0071	-34612.8
0.091	0.0072	-34725.1
0.091	0.0073	-34840.2
0.091	0.0074	-34958.1
0.091	0.0075	-35078.7
0.091	0.0076	-35201.9
0.091	0.0077	-35327.5
0.091	0.0078	-35455.4
0.091	0.0079	-35585.6
0.091	0.008	-35717.9
0.091	0.0081	-35852.2
0.091	0.0082	-35988.5
0.091	0.0083	-36126.7
0.091	0.0084	-36266.7
0.091	0.0085	-36408.5
0.091	0.0086	-36551.8
0.091	0.0087	-36696.8
0.091	0.0088	-36843.3
0.091	0.0089	-36991.2
0.091	0.009	-37140.5
0.091	0.0091	-37291.2
0.091	0.0092	-37443.1
0.091	0.0093	-37596.3
0.091	0.0094	-37750.6
0.091	0.0095	-37906
0.091	0.0096	-38062.5
0.091	0.0097	-38220.1
0.091	0.0098	-38378.6
0.091	0.0099	-38538.1
0.101	0.001	-57025.9
0.101	0.0011	-54510.7
0.101	0.0012	-52312
0.101	0.0013	-50375.2
0.101	0.0014	-48658.5
0.101	0.0015	-47128.5
0.101	0.0016	-45759
0.101	0.0017	-44528.4
0.101	0.0018	-43418.9
0.101	0.0019	-42416
0.101	0.002	-41507.4
0.101	0.0021	-40682.4
0.101	0.0022	-39932.4
0.101	0.0023	-39249.5
0.101	0.0024	-38627.2
0.101	0.0025	-38059.8
0.101	0.0026	-37542.1
0.101	0.0027	-37069.8
0.101	0.0028	-36639
0.101	0.0029	-36246.1
0.101	0.003	-35888.1
0.101	0.0031	-35562.2
0.101	0.0032	-35266
0.101	0.0033	-34997.1
0.101	0.0034	-34753.7
0.101	0.0035	-34533.8
0.101	0.0036	-34335.8
0.101	0.0037	-34158.3
0.101	0.0038	-33999.8
0.101	0.0039	-33859.1
0.101	0.004	-33735
0.101	0.0041	-33626.6
0.101	0.0042	-33532.7
0.101	0.0043	-33452.6
0.101	0.0044	-33385.4
0.101	0.0045	-33330.3
0.101	0.0046	-33286.7
0.101	0.0047	-33253.8
0.101	0.0048	-33231.1
0.101	0.0049	-33218
0.101	0.005	-33214
0.101	0.0051	-33218.6
0.101	0.0052	-33231.4
0.101	0.0053	-33251.8
0.101	0.0054	-33279.6
0.101	0.0055	-33314.2
0.101	0.0056	-33355.5
0.101	0.0057	-33403
0.101	0.0058	-33456.5
0.101	0.0059	-33515.6
0.101	0.006	-33580
