,npoly,thetapi,thetaw
21,64,14.62318840579711,17.138458475988994
22,53,14.456521739130443,14.192785925428385
23,48,10.35144927536232,12.853843856991745
0,73,19.434782608695663,19.548554199174944
1,62,15.98913043478261,16.602881648614336
2,56,13.481884057971019,14.99615116649037
3,64,15.768115942028995,17.138458475988994
4,70,19.648550724637676,18.745188958112962
5,55,15.532608695652174,14.72836275280304
6,47,11.452898550724642,12.586055443304417
7,51,14.445652173913048,13.657209098053729
8,49,13.355072463768119,13.121632270679072
9,50,13.90579710144928,13.389420684366401
10,52,16.195652173913043,13.924997511741056
11,52,13.670289855072467,13.924997511741056
12,54,13.565217391304351,14.460574339115713
13,52,15.615942028985511,13.924997511741056
14,43,9.434782608695652,11.514901788555104
15,56,17.597826086956527,14.99615116649037
16,63,16.112318840579714,16.870670062301663
17,50,12.358695652173918,13.389420684366401
18,60,13.271739130434787,16.06730482123968
19,53,15.992753623188408,14.192785925428385
20,53,13.57608695652174,14.192785925428385
21,48,12.021739130434783,12.853843856991745
22,60,18.036231884057973,16.06730482123968
23,58,14.757246376811601,15.531727993865024
0,64,18.956521739130437,17.138458475988994
1,45,11.7536231884058,12.05047861592976
2,54,17.54710144927537,14.460574339115713
3,59,16.460144927536234,15.799516407552353
4,53,15.934782608695652,14.192785925428385
5,33,8.286231884057973,8.837017651681824
6,57,17.264492753623188,15.263939580177697
7,62,17.452898550724644,16.602881648614336
8,45,14.079710144927537,12.05047861592976
9,53,15.166666666666666,14.192785925428385
10,48,13.568840579710153,12.853843856991745
11,48,12.840579710144931,12.853843856991745
12,50,14.217391304347835,13.389420684366401
13,72,17.8840579710145,19.280765785487617
14,63,16.61231884057972,16.870670062301663
15,59,13.543478260869566,15.799516407552353
16,56,15.170289855072465,14.99615116649037
17,61,16.73913043478262,16.335093234927008
18,67,20.05434782608696,17.941823717050976
19,71,17.02173913043479,19.01297737180029
20,69,18.568840579710155,18.47740054442563
21,50,15.065217391304348,13.389420684366401
22,56,14.597826086956527,14.99615116649037
