,npoly,thetapi,thetaw
1,11,3.3297101449275357,2.9456725505606083
2,19,7.14855072463768,5.0879798600592325
3,20,4.137681159420289,5.35576827374656
4,13,2.4384057971014492,3.481249377935264
5,20,2.3333333333333335,5.35576827374656
6,24,5.800724637681161,6.426921928495872
7,13,5.369565217391305,3.481249377935264
8,17,3.3876811594202905,4.552403032684576
9,18,2.9166666666666665,4.820191446371904
10,23,7.5,6.159133514808544
11,17,4.5688405797101455,4.552403032684576
12,25,7.195652173913042,6.694710342183201
13,30,6.898550724637681,8.03365241061984
14,15,4.3224637681159415,4.01682620530992
15,19,6.170289855072465,5.0879798600592325
16,10,2.8876811594202896,2.67788413687328
17,11,1.5507246376811592,2.9456725505606083
18,12,2.0869565217391304,3.213460964247936
19,21,2.7318840579710146,5.623556687433888
20,25,6.307971014492755,6.694710342183201
21,16,2.7499999999999996,4.2846146189972485
22,10,2.032608695652174,2.67788413687328
23,32,11.057971014492757,8.569229237994497
0,30,7.673913043478259,8.03365241061984
1,16,6.402173913043477,4.2846146189972485
2,17,3.86231884057971,4.552403032684576
3,15,4.010869565217392,4.01682620530992
4,15,2.163043478260869,4.01682620530992
5,14,3.5,3.7490377916225923
6,10,2.3550724637681157,2.67788413687328
7,10,2.123188405797101,2.67788413687328
8,15,4.992753623188405,4.01682620530992
9,31,5.666666666666663,8.301440824307168
10,19,7.148550724637681,5.0879798600592325
11,12,3.5253623188405796,3.213460964247936
12,14,3.1811594202898545,3.7490377916225923
13,14,2.7644927536231885,3.7490377916225923
14,33,7.4673913043478235,8.837017651681824
15,10,1.6992753623188404,2.67788413687328
16,22,5.086956521739129,5.891345101121217
17,12,1.5797101449275364,3.213460964247936
18,12,3.217391304347826,3.213460964247936
19,10,2.0471014492753623,2.67788413687328
20,15,2.6340579710144927,4.01682620530992
21,20,5.047101449275362,5.35576827374656
22,16,3.728260869565218,4.2846146189972485
23,30,11.257246376811597,8.03365241061984
0,13,4.159420289855072,3.481249377935264
1,18,4.271739130434782,4.820191446371904
2,16,4.681159420289855,4.2846146189972485
3,22,7.159420289855073,5.891345101121217
4,10,1.8297101449275364,2.67788413687328
5,29,9.231884057971014,7.765863996932512
6,12,3.4927536231884058,3.213460964247936
7,22,3.9311594202898545,5.891345101121217
8,9,1.394927536231884,2.410095723185952
9,15,3.0144927536231885,4.01682620530992
10,17,4.757246376811594,4.552403032684576
11,5,0.7536231884057971,1.33894206843664
12,37,8.452898550724639,9.908171306431136
13,16,5.57608695652174,4.2846146189972485
