,npoly,thetapi,thetaw
8,76,22.59420289855073,20.35191944023693
9,74,22.115942028985515,19.81634261286227
10,102,29.09057971014493,27.314418196107457
11,62,17.26811594202899,16.602881648614336
12,62,15.438405797101455,16.602881648614336
13,82,22.11231884057971,21.958649922360898
14,80,22.224637681159425,21.42307309498624
15,65,17.67028985507247,17.40624688967632
16,70,17.36956521739131,18.745188958112962
17,73,21.28985507246377,19.548554199174944
18,81,23.152173913043484,21.690861508673567
19,58,17.30072463768116,15.531727993865024
20,74,19.684782608695652,19.81634261286227
21,74,19.836956521739133,19.81634261286227
22,58,15.452898550724644,15.531727993865024
23,78,18.34782608695652,20.887496267611585
0,70,19.724637681159425,18.745188958112962
1,80,22.18478260869566,21.42307309498624
2,68,19.706521739130437,18.209612130738304
3,76,20.04710144927536,20.35191944023693
4,89,25.442028985507246,23.833168818172194
5,60,13.79347826086957,16.06730482123968
6,70,19.77173913043478,18.745188958112962
7,70,14.358695652173914,18.745188958112962
8,72,18.670289855072472,19.280765785487617
9,65,18.496376811594203,17.40624688967632
10,83,25.148550724637683,22.226438336048226
11,65,19.105072463768117,17.40624688967632
12,81,21.108695652173914,21.690861508673567
13,73,17.731884057971012,19.548554199174944
14,78,20.028985507246393,20.887496267611585
15,86,21.844202898550726,23.029803577110208
16,52,14.775362318840584,13.924997511741056
17,68,16.590579710144933,18.209612130738304
18,73,19.880434782608706,19.548554199174944
19,76,20.833333333333336,20.35191944023693
20,74,20.210144927536238,19.81634261286227
21,79,21.699275362318833,21.155284681298912
22,75,17.56884057971014,20.0841310265496
23,56,14.442028985507251,14.99615116649037
0,89,23.623188405797105,23.833168818172194
1,62,14.449275362318845,16.602881648614336
2,73,18.51811594202899,19.548554199174944
3,70,20.576086956521745,18.745188958112962
4,68,20.8659420289855,18.209612130738304
5,62,18.253623188405804,16.602881648614336
6,69,17.82246376811595,18.47740054442563
7,72,20.06159420289856,19.280765785487617
8,68,17.33333333333334,18.209612130738304
9,88,22.42753623188406,23.565380404484866
10,85,21.293478260869566,22.76201516342288
11,84,23.786231884057976,22.494226749735553
12,69,17.702898550724644,18.47740054442563
13,81,21.010869565217394,21.690861508673567
14,86,19.51811594202898,23.029803577110208
15,78,19.78623188405798,20.887496267611585
16,77,20.789855072463777,20.619707853924258
17,80,22.706521739130444,21.42307309498624
18,72,20.311594202898558,19.280765785487617
19,86,23.39855072463767,23.029803577110208
20,58,16.025362318840585,15.531727993865024
21,63,15.239130434782615,16.870670062301663
22,69,21.681159420289855,18.47740054442563
23,69,19.050724637681167,18.47740054442563
0,77,21.19202898550724,20.619707853924258
1,62,14.967391304347831,16.602881648614336
2,71,20.90217391304349,19.01297737180029
3,66,20.539855072463777,17.67403530336365
4,61,16.166666666666668,16.335093234927008
5,61,16.960144927536238,16.335093234927008
6,76,19.757246376811604,20.35191944023693
7,58,15.909420289855074,15.531727993865024
8,79,20.750000000000004,21.155284681298912
9,84,21.177536231884062,22.494226749735553
10,74,20.086956521739136,19.81634261286227
11,79,22.554347826086968,21.155284681298912
12,74,18.38405797101449,19.81634261286227
13,76,20.36594202898552,20.35191944023693
14,83,22.28260869565218,22.226438336048226
15,61,14.681159420289864,16.335093234927008
16,47,12.355072463768119,12.586055443304417
17,64,15.028985507246384,17.138458475988994
18,61,15.80797101449276,16.335093234927008
19,90,23.242753623188417,24.10095723185952
20,80,22.402173913043487,21.42307309498624
21,77,22.44565217391306,20.619707853924258
22,66,16.36594202898551,17.67403530336365
23,67,20.52536231884058,17.941823717050976
0,67,18.528985507246386,17.941823717050976
1,69,20.434782608695652,18.47740054442563
